,logFC,adj.P.Val,Gene,status
135,0.069821071,0.021934868,CHM,NO
136,0.23989738,0.020801061,GBP4,UP
137,0.053445808,0.039045093,ZBTB14,NO
138,0.04379628,0.045729015,GOLGA5,NO
139,0.051678719,0.014525207,HSPA5,NO
140,0.289046087,0.002248314,GBP2,UP
141,0.132127049,0.042672453,PHF11,UP
142,0.374165337,0.001233859,STAT1,UP
143,0.117604695,0.037696144,TAP2,UP
144,0.092752469,0.007305213,ZNF207,NO
145,-0.078009842,0.0226244,NADSYN1,NO
146,0.256707687,0.007305213,TRIM22,UP
147,0.034022402,0.007156886,TP53BP2,NO
148,0.139087754,0.04309581,KCNJ2,UP
149,0.168023704,0.007666145,ARHGEF3,UP
150,0.156742296,0.015463291,UBXN4,UP
151,0.154150272,0.015397879,IFIH1,UP
152,0.144274559,0.009789099,PUM1,UP
153,0.08077767,0.001233859,SECISBP2L,NO
154,-0.069698662,0.041501799,NA,NO
155,-0.172771055,0.0226244,S1PR4,DOWN
156,-0.090725093,0.045609287,WASH3P,NO
157,-0.090725093,0.045609287,WASH7P,NO
158,-0.112640478,0.041501799,LMOD3,DOWN
159,0.042159331,0.034572979,ZNF621,NO
160,0.057613184,0.001533841,KIF5B,NO
161,-0.141728716,0.016482509,STAG3L1,DOWN
162,-0.141728716,0.016482509,STAG3L3,DOWN
163,-0.141728716,0.016482509,STAG3L2,DOWN
164,-0.044571042,0.045609287,RAB37,NO
165,0.092966567,0.000546666,SNTB1,NO
166,0.168467083,0.032853477,RAB10,UP
167,0.204515259,0.032387187,ZFAND5,UP
168,0.153811554,0.025075879,PLEK,UP
169,0.180510358,0.009333347,FYB1,UP
170,0.163795368,0.001585547,ARID1A,UP
171,0.060338815,0.044437015,HMGCS1,NO
172,0.087756921,0.007156886,SRBD1,NO
173,0.052598867,0.045067791,MSANTD4,NO
174,0.105232221,0.042815275,ABHD3,UP
175,0.131621521,0.030301476,ARK2N,UP
176,-0.046309419,0.047561215,EPHB6,NO
177,0.041529653,0.041501799,SPRED1,NO
178,0.107733464,0.035047999,WWP1,UP
179,-0.083222574,0.024355172,LTBP3,NO
180,0.103546074,0.027116659,SHTN1,UP
181,-0.138184191,0.021934868,ACAP1,DOWN
182,0.104615498,0.01517583,XRN1,UP
183,0.158843348,0.001233859,MYOF,UP
184,0.079893532,0.042976305,GCH1,NO
185,-0.097919419,0.037667563,CNPY3,NO
186,0.095416363,0.043890463,CTSL,NO
187,0.171249232,0.009819886,SAMD9,UP
188,0.125555858,0.018144405,SCARB2,UP
189,-0.125577404,0.023543749,NA,DOWN
190,-0.101785228,0.011166684,NA,DOWN
191,-0.075453513,0.023543749,NA,NO
192,-0.025134807,0.015397879,NA,NO
193,-0.04091306,0.033381562,NA,NO
194,0.028516738,0.045361253,NA,NO
195,-0.026547349,0.037696144,NA,NO
196,-0.079335389,0.014775283,NA,NO
197,-0.109367182,0.025664247,FOXP1-IT1,DOWN
198,-0.086506023,0.04179924,NA,NO
199,-0.120232222,0.006008164,NA,DOWN
200,-0.179831112,0.019451949,NA,DOWN
201,0.030417246,0.040407958,NFE2L3,NO
202,-0.059359603,0.041501799,LNPK,NO
203,0.082509477,0.016482509,AGGF1,NO
204,-0.180289082,0.033256549,NPIPB13,DOWN
205,0.070051536,0.031582019,RAB11FIP2,NO
206,-0.164958914,0.002471131,NA,DOWN
207,-0.124862172,0.03091379,XKR8,DOWN
208,-0.135130697,0.001233859,ISG20L2,DOWN
209,0.160547717,0.009333347,HSP90B1,UP
210,0.171355651,0.047081784,SNRK,UP
211,-0.135971559,0.001986487,CHRNA5,DOWN
212,0.086582167,0.014775283,PCNX4,NO
213,0.350964674,0.009333347,GBP5,UP
214,-0.169214216,0.006617222,ZNF394,DOWN
215,0.068885993,0.006323097,RAB1A,NO
216,-0.190995915,0.00159625,ERAP2,DOWN
217,0.291779993,0.01517583,GBP1,UP
