"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_1763670",0.307796154805551,8.49470599733929,4.90937245978865,8.13718111586732e-06,0.397118849997673,3.08500538015174
"ILMN_1667005",0.148366782016666,6.82227881851786,4.60960993422429,2.34637503316634e-05,0.465071211484741,2.22171981637553
"ILMN_1854603",0.134931364155555,6.81915273010714,4.55290464533588,2.8588685827802e-05,0.465071211484741,2.06055793165853
"ILMN_1741572",-0.192976091272223,8.896622055875,-4.36721022836547,5.42261204618091e-05,0.493030780824948,1.53822258468932
"ILMN_1684767",-0.144648558416666,6.81227077248214,-4.36272330836381,5.5064030630908e-05,0.493030780824948,1.52571009850475
"ILMN_2378100",0.23210203116667,10.4001481858929,4.2558655404434,7.91799619832292e-05,0.493030780824948,1.22933436115293
"ILMN_1904953",-0.121444840911113,6.84206320689286,-4.25550224786729,7.92772836851602e-05,0.493030780824948,1.22833215748387
"ILMN_1807492",0.362488908988889,8.52581523825,4.24980142694232,8.08197497407861e-05,0.493030780824948,1.21261039498904
"ILMN_1851363",-0.139096629477774,6.85067103535714,-4.16881443703872,0.000106139967803606,0.57554987207993,0.990278803989772
"ILMN_1671215",-0.161686598527779,6.87654785926786,-4.11149279290477,0.000128542337907483,0.595531660486004,0.834094235197884
"ILMN_1749521",-0.365034303705553,9.938652165625,-4.09848244965828,0.000134230442090569,0.595531660486004,0.798785017854329
"ILMN_1759117",0.131215041149999,6.81346028694643,4.04822925165621,0.000158574065128647,0.64490750837278,0.662899266640984
"ILMN_1781039",0.268743048116669,7.870766325125,4.00916224871329,0.000180392732484178,0.67720819410964,0.557818536451883
"ILMN_1679277",-0.143973641877782,6.81725577346429,-3.98104049923867,0.000197863079311543,0.689736561402945,0.482486235411505
"ILMN_1813025",0.117137964144445,6.84565706,3.90516174623621,0.000253526986055693,0.794296733295799,0.28054455319886
"ILMN_2094166",0.337898839972217,10.6374780236607,3.89692177276822,0.000260409149698436,0.794296733295799,0.25873333652703
"ILMN_1780762",-0.106853091849999,6.77052856948214,-3.83497307012135,0.000318220745615924,0.867080732231591,0.0955171971919748
"ILMN_1784780",-0.195952977005557,8.04876871923214,-3.80549322815062,0.00034988582083448,0.867080732231591,0.0183273121606629
"ILMN_1754752",0.142977947411111,6.93972762353571,3.78849035633362,0.000369502200049628,0.867080732231591,-0.0260493864097198
"ILMN_1756727",0.143603838372218,6.78066538441071,3.78453113360129,0.00037421920881297,0.867080732231591,-0.0363675703136783
"ILMN_1823075",-0.0961893618555534,6.83777869328571,-3.76450906210943,0.000398971848871429,0.867080732231591,-0.0884588076659121
"ILMN_1815107",-0.218585230944443,11.4936022755357,-3.76422090489068,0.000399339299329541,0.867080732231591,-0.0892074198871446
"ILMN_1879602",-0.134587164394445,6.78736804151786,-3.75701065272418,0.000408639977897396,0.867080732231591,-0.107929091457864
"ILMN_1781360",0.258976990027776,7.891815013875,3.7273732645738,0.000449097270332733,0.902166616022769,-0.184679207779475
"ILMN_1843643",-0.149333158988889,6.81297645657143,-3.71376089791458,0.000468939834677356,0.902166616022769,-0.219819207313661
